loss_percent,dns_detector,dns_zeek,dns_suricata,dhcp_detector,dhcp_zeek,dhcp_suricata
0,100.0,100.0,100.0,100.0,100.0,100.0
10,88.70370370370371,88.70370370370371,88.70370370370371,89.16666666666667,89.16666666666667,89.16666666666667
20,82.87037037037037,82.87037037037037,82.87037037037037,80.83333333333333,80.83333333333333,80.83333333333333
30,66.11111111111111,66.11111111111111,65.27777777777779,68.33333333333333,68.33333333333333,68.33333333333333
40,60.09259259259259,60.09259259259259,60.09259259259259,60.83333333333333,60.83333333333333,60.83333333333333
50,55.46296296296296,55.46296296296296,55.46296296296296,42.916666666666664,42.916666666666664,42.916666666666664
60,40.74074074074074,40.74074074074074,40.74074074074074,38.75,38.75,38.75
70,29.629629629629626,29.629629629629626,29.629629629629626,35.41666666666667,35.41666666666667,35.41666666666667
80,16.38888888888889,22.314814814814817,22.314814814814817,22.5,22.5,22.5
90,6.7592592592592595,9.722222222222223,9.722222222222223,11.25,11.25,11.25
100,0.0,0.0,0.0,0.0,0.0,0.0
